nombre,categoria,alergenos,gramaje,esproteico,escarbohidrato,esgrasa
Risotto con champiñones,carbohidratos,,100,0,1,0
Arroz negro,carbohidratos,,90,0,1,0
Salteado de gambas,marisco,marisco,250,1,0,0
Queso,lácteos,leche,25,1,0,0
Queso Havirti ligth,lácteos,leche,40,1,0,0
Requesón desnatado,lácteos,leche,150,1,0,0
Queso fresco batido 0%,lácteos,leche,250,1,0,0
Yogurt desnatado,lácteos,leche,2,1,0,0
Leche desnatada,lácteos,leche,300,1,0,0
Leche entera,lácteos,leche,200,1,0,0
Leche semi,lácteos,leche,240,1,0,0
Yogurt griego,lácteos,leche,100,1,0,0
Yogurt cualquier tipo,lácteos,leche,120,1,0,0
Leche de proteínas Hacendado,lácteos,leche,200,1,0,0
Leche suprema asturiana,lácteos,leche,200,1,0,0
Arroz con leche,lácteos,leche,70,0,1,0
Cuajada,lácteos,leche,120,0,1,0
Natillas de cualquier sabor,lácteos,leche,90,0,1,0
Queso de Burgos desnatado,lácteos,leche,150,1,0,0
Yogur Proteico Natural,lácteos,leche,250,1,0,0
Yogurt líquido Proteico,lácteos,leche,2,1,0,0
Yogurt Proteico de cualquier tipo,lácteos,leche,120,1,0,0
Leche proteica,lácteos,leche,180,1,0,0
Mandarina,fruta,frutas,1,1,0,0
Naranja,fruta,frutas,1,1,0,0
Melon,fruta,frutas,3,1,0,0
Uva,fruta,frutas,100,1,0,0
